sample_index,observed,AR(3),MA(2),"ARMA(3,2)","ARIMA(3,1,2)",Training-mean baseline
1968,1001.0,1025.4748959618862,1026.0380355563846,1026.0309156398766,1110.1819789980723,1026.0311111111112
1969,1003.0,1025.4741930013015,1026.0380355563846,1026.030927698332,1110.1819734215092,1026.0311111111112
1970,1000.0,1025.473448417285,1026.0380355563846,1026.0309423685003,1110.1819925184725,1026.0311111111112
1971,996.0,1025.4727040506311,1026.0380355563846,1026.0309575037338,1110.18202995684,1026.0311111111112
1972,997.0,1025.4719965223635,1026.0380355563846,1026.030971252359,1110.1820778277138,1026.0311111111112
1973,993.0,1025.4713560805862,1026.0380355563846,1026.0309822266331,1110.182127971472,1026.0311111111112
1974,997.0,1025.4708059046632,1026.0380355563846,1026.0309895898602,1110.182173139437,1026.0311111111112
1975,999.0,1025.4703618440462,1026.0380355563846,1026.0309930647752,1110.182207855786,1026.0311111111112
1976,1007.0,1025.470032550501,1026.0380355563846,1026.030992875016,1110.1822289059385,1026.0311111111112
1977,1007.0,1025.4698199482375,1026.0380355563846,1026.0309896374233,1110.182235440175,1026.0311111111112
1978,1011.0,1025.4697199767388,1026.0380355563846,1026.0309842257911,1110.1822287359319,1026.0311111111112
1979,1010.0,1025.469723535758,1026.0380355563846,1026.0309776266686,1110.1822117027225,1026.0311111111112
1980,1010.0,1025.4698175607923,1026.0380355563846,1026.0309708054083,1110.1821882364943,1026.0311111111112
1981,1012.0,1025.469986159839,1026.0380355563846,1026.0309645964867,1110.1821625349519,1026.0311111111112
1982,1012.0,1025.4702117478378,1026.0380355563846,1026.0309596270008,1110.1821384740208,1026.0311111111112
1983,1010.0,1025.4704761232329,1026.0380355563846,1026.0309562769087,1110.1821191221784,1026.0311111111112
1984,1012.0,1025.4707614408594,1026.0380355563846,1026.0309546746967,1110.1821064388737,1026.0311111111112
1985,1014.0,1025.4710510461605,1026.0380355563846,1026.030954723218,1110.1821011709667,1026.0311111111112
1986,1015.0,1025.4713301469292,1026.0380355563846,1026.0309561477684,1110.182102931746,1026.0311111111112
1987,1020.0,1025.4715863097285,1026.0380355563846,1026.030958557146,1110.182110424253,1026.0311111111112
1988,1026.0,1025.4718097783782,1026.0380355563846,1026.0309615084348,1110.1821217564977,1026.0311111111112
1989,1032.0,1025.4719936209776,1026.0380355563846,1026.0309645673055,1110.1821347913583,1026.0311111111112
1990,1035.0,1025.4721337195754,1026.0380355563846,1026.0309673575093,1110.1821474777605,1026.0311111111112
1991,1036.0,1025.4722286225826,1026.0380355563846,1026.0309695955107,1110.1821581203217,1026.0311111111112
1992,1035.0,1025.4722792842854,1026.0380355563846,1026.0309711086268,1110.1821655595447,1026.0311111111112
1993,1033.0,1025.4722887183364,1026.0380355563846,1026.030971837229,1110.1821692511594,1026.0311111111112
1994,1028.0,1025.472261592995,1026.0380355563846,1026.0309718233357,1110.1821692488065,1026.0311111111112
1995,1026.0,1025.4722037952963,1026.0380355563846,1026.0309711891557,1110.1821661069548,1026.0311111111112
1996,1025.0,1025.472121989476,1026.0380355563846,1026.0309701097212,1110.1821607293869,1026.0311111111112
1997,1022.0,1025.4720231921024,1026.0380355563846,1026.0309687837848,1110.182154192294,1026.0311111111112
1998,1020.0,1025.4719143827615,1026.0380355563846,1026.0309674066718,1110.182147570159,1026.0311111111112
1999,1019.0,1025.471802165027,1026.0380355563846,1026.0309661479482,1110.1821417879926,1026.0311111111112
2000,1016.0,1025.4716924881527,1026.0380355563846,1026.0309651357404,1110.1821375163292,1026.0311111111112
2001,1014.0,1025.4715904356308,1026.0380355563846,1026.030964448461,1110.1821351170302,1026.0311111111112
2002,1010.0,1025.471500082694,1026.0380355563846,1026.0309641137057,1110.1821346397387,1026.0311111111112
