,observed,trend,seasonal,residual
330,1042.0,1041.1374999999998,27.24629916544788,-26.383799165447698
331,1038.0,1041.0275,25.142614519165043,-28.17011451916496
332,1037.0,1040.9249999999997,23.48337431732665,-27.408374317326377
333,1033.0,1040.8324999999998,22.15774522659938,-29.990245226599136
334,1032.0,1040.7449999999997,23.276838358094373,-32.02183835809404
335,1032.0,1040.66,22.953153711811517,-31.6131537118116
336,1032.0,1040.575,21.7419690655287,-30.316969065528745
337,1028.0,1040.4850000000001,17.309395530356973,-29.7943955303571
338,1027.0,1040.3950000000002,11.210155328518576,-24.605155328518784
339,1026.0,1040.3075000000001,4.776192904457979,-19.083692904458097
340,1026.0,1040.23,-1.881102852935951,-12.348897147064067
341,1022.0,1040.1625,-8.094787499218787,-10.067712500781122
342,1023.0,1040.1075,-12.864583256612761,-4.242916743387312
343,1022.0,1040.075,-14.191045680673373,-3.883954319326673
344,1020.0,1040.0575000000003,-16.517785882511717,-3.5397141174886286
345,1020.0,1040.0375000000004,-14.621470528794518,-5.416029471205846
346,1020.0,1040.0075000000004,-13.39071073063286,-6.616789269367532
347,1022.0,1039.9650000000001,-12.269950932471291,-5.6950490675288545
348,1021.0,1039.9125000000001,-12.148357800976257,-6.76414219902388
349,1022.0,1039.8525,-12.471209113925754,-5.3812908860742095
350,1022.0,1039.79,-12.239615982430758,-5.550384017569206
351,1020.0,1039.7325,-12.67663396204699,-7.055866037953082
352,1016.0,1039.6750000000002,-13.003651941663158,-10.671348058337024
353,1017.0,1039.62,-10.998169921279281,-11.62183007872061
354,1012.0,1039.5774999999999,-9.326854567562076,-18.250645432437796
355,1011.0,1039.5475000000001,-5.98970588051162,-22.557794119488506
356,1016.0,1039.5225,-1.9878349712388568,-21.53466502876118
357,1028.0,1039.4950000000001,3.0132026047005542,-14.508202604700672
358,1047.0,1039.4675000000002,9.01340684730659,-1.4809068473067892
359,1072.0,1039.44,16.67999997880152,15.880000021198427
360,1103.0,1039.41,25.236315332518714,38.353684667481204
361,1144.0,1039.3799999999999,34.46068624179146,70.15931375820867
362,1195.0,1039.3549999999998,42.907557151064196,112.73744284893601
363,1246.0,1039.3325,47.90942806033696,158.75807193966307
364,1298.0,1039.31,49.466854525165225,209.22314547483484
365,1342.0,1039.2975000000001,48.68928098999347,254.0132190100064
366,1371.0,1039.3025000000002,44.79892967704393,286.89857032295583
367,1378.0,1039.3300000000004,38.130522808538906,300.5394771914607
368,1352.0,1039.3700000000001,28.573504828922758,284.05649517107713
369,1306.0,1039.4175000000002,17.350931293750982,249.23156870624877
370,1242.0,1039.4475,5.9078022030237545,196.64469779697626
371,1172.0,1039.4450000000002,-3.421715776592367,135.97671577659221
372,1109.0,1039.425,-10.41567820065301,79.99067820065305
373,1059.0,1039.3975,-15.741029513602438,35.343529513602405
374,1022.0,1039.3725000000002,-19.509436382107438,2.1369363821072653
375,1005.0,1039.3375000000003,-20.05589880616803,-14.281601193832287
376,1002.0,1039.2950000000003,-20.824305674673106,-16.470694325327194
377,1004.0,1039.2575,-20.7027125431781,-14.554787456821835
378,1012.0,1039.2250000000001,-20.691397189460915,-6.533602810539222
379,1019.0,1039.2050000000002,-18.902304057965978,-1.3026959420341768
380,1022.0,1039.1925,-19.224599815359944,2.0320998153598353
381,1017.0,1039.1874999999998,-19.657728906087137,-2.529771093912636
382,1013.0,1039.1924999999999,-20.310857996814427,-5.881642003185455
383,1009.0,1039.1825,-19.961209309763923,-10.221290690235968
384,1002.0,1039.155,-19.83211617826899,-17.322883821730983
385,1000.0,1039.1175,-18.367467491218456,-20.750032508781608
386,999.0,1039.0649999999998,-16.566985470834656,-23.49801452916517
387,1000.0,1038.995,-12.432059006006327,-26.562940993993564
388,1000.0,1038.9174999999998,-8.96407698562251,-29.95342301437728
389,1000.0,1038.8424999999995,-4.386650520794184,-34.455849479205334
390,996.0,1038.7799999999997,1.4104981662562328,-44.19049816625598
391,999.0,1038.735,8.095702408862277,-47.83070240886218
392,999.0,1038.7074999999998,14.336184429246066,-54.04368442924582
393,999.0,1038.6975000000002,17.687499782963243,-57.38499978296346
394,1000.0,1038.7000000000003,22.039648470013766,-60.73964847001404
395,1000.0,1038.6975000000002,22.94874160150868,-61.6462416015089
396,1001.0,1038.6800000000003,21.85700139967029,-59.53700139967058
397,1001.0,1038.6525000000001,19.318038975609724,-56.97053897560987
398,1002.0,1038.605,15.10990988488246,-51.71490988488248
399,997.0,1038.5425,9.232058571933011,-50.77455857193303
400,997.0,1038.48,-5.219068413741554,-36.260931586258465
401,995.0,1038.425,-1.005728787125884,-42.41927121287407
402,996.0,1038.37,3.7592775061564563,-46.12927750615635
403,998.0,1038.3175,10.076783799438742,-50.39428379943885
404,1000.0,1038.2825000000003,16.615123426054396,-54.89762342605465
405,1000.0,1038.2550000000003,20.599018608225613,-58.85401860822595
406,1000.0,1038.2225,23.362080457063506,-61.58458045706359
407,1002.0,1038.1775,22.570142305901435,-58.747642305901444
408,1003.0,1038.1125,18.444870821405978,-53.55737082140593
